no,"""question""","""answer""","""description""",
11,"""명동 신세계백화점은 2025년 크리스마스를 맞아 본점 외벽의 '신세계스퀘어'에서 '시간을 잇는 마법의 세계'를 주제로 한 크리스마스 미디어파사드 쇼를 진행한다고 합니다.""",,,"11: {""question"" : ""명동 신세계백화점은 2025년 크리스마스를 맞아 본점 외벽의 '신세계스퀘어'에서 '시간을 잇는 마법의 세계'를 주제로 한 크리스마스 미디어파사드 쇼를 진행한다고 합니다."", ""answer"" : , ""description"" : },"
12,"""세계 3대 크리스마스 마켓이 열리는 이 곳에는 소시지와 글뤼바인이 유명합니다. 독일 바이에른주에서 뮌헨 다음의 규모를 자랑하는 이 도시는 어디일까요?""","""뉘른베르크""",,"12: {""question"" : ""세계 3대 크리스마스 마켓이 열리는 이 곳에는 소시지와 글뤼바인이 유명합니다. 독일 바이에른주에서 뮌헨 다음의 규모를 자랑하는 이 도시는 어디일까요?"", ""answer"" : ""뉘른베르크"", ""description"" : },"
13,"""크리스마스 시즌에 북미 등지에서 즐겨 마시는, 계란, 설탕, 우유, 향신료 등으로 만드는 달콤한 음료는 무엇일까요?""","""에그노그""",,"13: {""question"" : ""크리스마스 시즌에 북미 등지에서 즐겨 마시는, 계란, 설탕, 우유, 향신료 등으로 만드는 달콤한 음료는 무엇일까요?"", ""answer"" : ""에그노그"", ""description"" : },"
14,"""기독교에서 예수 그리스도의 재림을 기다리며 성탄절을 준비하는 이 절기는 무엇일까요?""","""대림절""","""대림절은 매년 성탄절 4주 전 일요일부터 한달 간 지속되며, 어드벤트 캘린더의 'advent'도 대림절에서 유래한 용어입니다.""","14: {""question"" : ""기독교에서 예수 그리스도의 재림을 기다리며 성탄절을 준비하는 이 절기는 무엇일까요?"", ""answer"" : ""대림절"", ""description"" : ""대림절은 매년 성탄절 4주 전 일요일부터 한달 간 지속되며, 어드벤트 캘린더의 'advent'도 대림절에서 유래한 용어입니다.""},"
15,"""일본에서 매년 크리스마스 이브에 특별한 전통 음식으로 인기를 끄는 패스트푸드 브랜드는 무엇일까요?""","""KFC""",,"15: {""question"" : ""일본에서 매년 크리스마스 이브에 특별한 전통 음식으로 인기를 끄는 패스트푸드 브랜드는 무엇일까요?"", ""answer"" : ""KFC"", ""description"" : },"
16,"""크리스마스 시즌에 자주 불리는 캐럴 중 '고요한 밤 거룩한 밤'은 원래 이 나라에서 처음 불렸습니다. 이 나라는 어디일까요?""","""오스트리아""",,"16: {""question"" : ""크리스마스 시즌에 자주 불리는 캐럴 중 '고요한 밤 거룩한 밤'은 원래 이 나라에서 처음 불렸습니다. 이 나라는 어디일까요?"", ""answer"" : ""오스트리아"", ""description"" : },"
17,"""국민 캐럴이라고 불리는 '징글벨'은 원래 미국의 작곡가가 추수감사절 노래로 만들었다고 합니다. 이 징글벨의 작곡가는 누구일까요?""","[""제임스 피어폰트"",""제임스 로드 피어폰트""]",,"17: {""question"" : ""국민 캐럴이라고 불리는 '징글벨'은 원래 미국의 작곡가가 추수감사절 노래로 만들었다고 합니다. 이 징글벨의 작곡가는 누구일까요?"", ""answer"" : [""제임스 피어폰트"",""제임스 로드 피어폰트""], ""description"" : },"
18,,,,"18: {""question"" : , ""answer"" : , ""description"" : },"
19,,,,"19: {""question"" : , ""answer"" : , ""description"" : },"
20,,,,"20: {""question"" : , ""answer"" : , ""description"" : },"
21,,,,"21: {""question"" : , ""answer"" : , ""description"" : },"
22,,,,"22: {""question"" : , ""answer"" : , ""description"" : },"
23,"""북유럽 신화에서 겨울을 상징하며, 크리스마스에 집안에 들여 행운을 빈다는 이 식물의 이름은 무엇일까요? (이것 아래에서 키스를 하면 사랑이 이루어진다고 합니다.)""","[""미슬토"",""겨우살이""]",,"23: {""question"" : ""북유럽 신화에서 겨울을 상징하며, 크리스마스에 집안에 들여 행운을 빈다는 이 식물의 이름은 무엇일까요? (이것 아래에서 키스를 하면 사랑이 이루어진다고 합니다.)"", ""answer"" : [""미슬토"",""겨우살이""], ""description"" : },"
24,,,,"24: {""question"" : , ""answer"" : , ""description"" : },"
